"rank","name","density","densityMi","pop2020","area"
,"Macau","21644.5000","56059.2550","649.3350",30
,"Monaco","19426.7327","50315.2376","39.2420","2.0200"
,"Singapore","8239.9183","21341.3884","5850.3420",710
,"Hong Kong","6790.7437","17588.0261","7496.9810",1104
,"Gibraltar","5615.1667","14543.2817","33.6910",6
,"Bahrain","2224.2810","5760.8879","1701.5750",765
,"Vatican City","1820.4545","4714.9773","0.8010","0.4400"
,"Maldives","1801.8133","4666.6965","540.5440",300
,"Malta","1397.2880","3618.9759","441.5430",316
,"Sint Maarten","1261.0588","3266.1424","42.8760",34
,"Bermuda","1153.2963","2987.0374","62.2780",54
,"Bangladesh","1116.0086","2890.4622","164689.3830",147570
,"Palestine","820.1630","2124.2222","5101.4140",6220
,"Saint Martin","729.5472","1889.5272","38.6660",53
,"Mayotte","729.4519","1889.2803","272.8150",374
,"Barbados","668.3140","1730.9331","287.3750",430
,"Taiwan","658.0492","1704.3474","23816.7750",36193
,"Lebanon","653.0277","1691.3416","6825.4450",10452
,"Mauritius","623.4157","1614.6466","1271.7680",2040
,"Aruba","593.1444","1536.2441","106.7660",180
,"San Marino","556.2459","1440.6769","33.9310",61
,"Nauru","515.4286","1334.9600","10.8240",21
,"South Korea","511.6175","1325.0892","51269.1850",100210
,"Rwanda","491.7692","1273.6823","12952.2180",26338
,"Saint Barthélemy","470.3333","1218.1633","9.8770",21
,"Comoros","467.0252","1209.5954","869.6010",1862
,"Tuvalu","453.5385","1174.6646","11.7920",26
,"Burundi","427.2036","1106.4572","11890.7840",27834
,"India","419.7617","1087.1828","1380004.3850",3287590
,"Israel","416.7325","1079.3373","8655.5350",20770
,"Haiti","410.9019","1064.2359","11402.5280",27750
,"Netherlands","409.4354","1060.4377","17134.8720",41850
,"Belgium","379.6391","983.2653","11589.6230",30528
,"Curacao","369.5788","957.2092","164.0930",444
,"Reunion","356.5560","923.4799","895.3120",2511
,"Japan","334.6558","866.7585","126476.4610",377930
,"Martinique","332.6817","861.6457","375.2650",1128
,"Grenada","327.1017","847.1935","112.5230",344
,"Marshall Islands","327.0166","846.9729","59.1900",181
,"Sri Lanka","326.3717","845.3028","21413.2490",65610
,"Puerto Rico","322.5313","835.3562","2860.8530",8870
,"Philippines","320.0821","829.0127","109581.0780",342353
,"El Salvador","308.2651","798.4065","6486.2050",21041
,"Guam","307.4226","796.2245","168.7750",549
,"United States Virgin Islands","300.9366","779.4258","104.4250",347
,"Saint Lucia","298.0958","772.0681","183.6270",616
,"Vietnam","293.8860","761.1648","97338.5790",331212
,"Saint Vincent and the Grenadines","285.1928","738.6494","110.9400",389
,"United Kingdom","279.4813","723.8566","67886.0110",242900
,"American Samoa","277.3417","718.3150","55.1910",199
,"Trinidad and Tobago","272.8047","706.5641","1399.4880",5130
,"Jamaica","269.4174","697.7912","2961.1670",10991
,"Pakistan","250.4698","648.7168","220892.3400",881912
,"Cayman Islands","248.9470","644.7727","65.7220",264
,"Qatar","248.6668","644.0469","2881.0530",11586
,"Guadeloupe","245.7764","636.5609","400.1240",1628
,"Luxembourg","242.0642","626.9463","625.9780",2586
,"Kuwait","239.6773","620.7643","4270.5710",17818
,"Liechtenstein","238.3000","617.1970","38.1280",160
,"Germany","234.6140","607.6502","83783.9420",357114
,"Sao Tome and Principe","227.3434","588.8193","219.1590",964
,"Gambia","226.0893","585.5712","2416.6680",10689
,"Nigeria","223.1508","577.9606","206139.5890",923768
,"Dominican Republic","222.8824","577.2655","10847.9100",48671
,"Antigua and Barbuda","221.5588","573.8374","97.9290",442
,"Seychelles","217.5819","563.5370","98.3470",452
,"North Korea","213.8646","553.9094","25778.8160",120538
,"Switzerland","209.6362","542.9578","8654.6220",41284
,"Saint Kitts and Nevis","203.8276","527.9134","53.1990",261
,"Italy","200.6459","519.6728","60461.8260",301336
,"British Virgin Islands","200.2053","518.5317","30.2310",151
,"Nepal","197.9658","512.7315","29136.8080",147181
,"Uganda","189.3645","490.4542","45741.0070",241550
,"Andorra","165.0962","427.5990","77.2650",468
,"Anguilla","164.8681","427.0085","15.0030",91
,"Guatemala","164.5306","426.1341","17915.5680",108889
,"Micronesia","163.8504","424.3726","115.0230",702
,"Malawi","161.4560","418.1710","19129.9520",118484
,"Isle of Man","148.6591","385.0270","85.0330",572
,"China","148.2775","384.0387","1439323.7760",9706961
,"Kiribati","147.2861","381.4709","119.4490",811
,"Togo","145.7907","377.5979","8278.7240",56785
,"Indonesia","143.6144","371.9614","273523.6150",1904569
,"Tonga","141.4926","366.4659","105.6950",747
,"Cape Verde","137.8594","357.0559","555.9870",4033
,"Thailand","136.0305","352.3190","69799.9780",513120
,"Czech Republic","135.7888","351.6929","10708.9810",78865
,"Denmark","134.4085","348.1181","5792.2020",43094
,"Cyprus","130.5112","338.0240","1207.3590",9251
,"Ghana","130.2668","337.3911","31072.9400",238533
,"Northern Mariana Islands","124.0496","321.2884","57.5590",464
,"Poland","121.0398","313.4931","37846.6110",312679
,"Moldova","119.1858","308.6913","4033.9630",33846
,"France","118.3145","306.4345","65273.5110",551695
,"United Arab Emirates","118.3062","306.4132","9890.4020",83600
,"Azerbaijan","117.0806","303.2387","10139.1770",86600
,"Jordan","114.2031","295.7860","10203.1340",89342
,"Tokelau","113.0833","292.8858","1.3570",12
,"Slovakia","111.3372","288.3633","5459.6420",49037
,"Sierra Leone","111.1930","287.9898","7976.9830",71740
,"Portugal","110.7255","286.7790","10196.7090",92090
,"Benin","107.6450","278.8007","12123.2000",112622
,"Turkey","107.6355","278.7759","84339.0670",783562
,"Austria","107.3839","278.1244","9006.3980",83871
,"Ethiopia","104.1054","269.6330","114963.5880",1104300
,"Hungary","103.8435","268.9546","9660.3510",93028
,"Cuba","103.0779","266.9719","11326.6160",109884
,"Slovenia","102.5471","265.5971","2078.9380",20273
,"Egypt","102.0843","264.3983","102334.4040",1002450
,"Albania","100.1043","259.2700","2877.7970",28748
,"Costa Rica","99.6892","258.1950","5094.1180",51100
,"Armenia","99.6282","258.0372","2963.2430",29743
,"Serbia","98.8827","256.1061","8737.3710",88361
,"Malaysia","97.8407","253.4074","32365.9990",330803
,"Dominica","95.8535","248.2606","71.9860",751
,"Syria","94.5062","244.7711","17500.6580",185180
,"Kenya","92.6505","239.9648","53771.2960",580367
,"Spain","92.4022","239.3217","46754.7780",505992
,"Cambodia","92.3521","239.1920","16718.9650",181035
,"Iraq","91.7658","237.6733","40222.4930",438317
,"Timor-Leste","88.6409","229.5800","1318.4450",14874
,"Honduras","88.0472","228.0423","9904.6070",112492
,"Senegal","85.1147","220.4470","16743.9270",196722
,"Morocco","82.6572","214.0821","36910.5600",446550
,"Ivory Coast","81.8025","211.8684","26378.2740",322463
,"Macedonia","81.0242","209.8526","2083.3740",25713
,"Romania","80.6981","209.0080","19237.6910",238391
,"Myanmar","80.4191","208.2855","54409.8000",676578
,"Wallis and Futuna","79.1479","204.9930","11.2390",142
,"Greece","78.9685","204.5284","10423.0540",131990
,"Burkina Faso","76.5780","198.3371","20903.2730",272967
,"Brunei","75.8853","196.5430","437.4790",5765
,"Uzbekistan","74.8082","193.7533","33469.2030",447400
,"Cook Islands","74.4237","192.7575","17.5640",236
,"Croatia","72.5389","187.8758","4105.2670",56594
,"Ukraine","72.4669","187.6892","43733.7620",603500
,"Tunisia","72.2365","187.0926","11818.6190",163610
,"Lesotho","70.5732","182.7845","2142.2490",30355
,"Ireland","70.2658","181.9883","4937.7860",70273
,"Samoa","69.8149","180.8206","198.4140",2842
,"French Polynesia","67.4125","174.5984","280.9080",4167
,"Swaziland","66.8143","173.0491","1160.1640",17364
,"Tajikistan","66.6502","172.6240","9537.6450",143100
,"Mexico","65.6355","169.9960","128932.7530",1964375
,"Bosnia and Herzegovina","64.0672","165.9341","3280.8190",51209
,"Ecuador","63.7299","165.0605","17643.0540",276841
,"Tanzania","63.2050","163.7009","59734.2180",945087
,"Bulgaria","62.6669","162.3073","6948.4450",110879
,"Afghanistan","59.6850","154.5841","38928.3460",652230
,"Georgia","57.2334","148.2345","3989.1670",69700
,"Panama","57.2121","148.1794","4314.7670",75417
,"Yemen","56.4920","146.3143","29825.9640",527968
,"Cameroon","55.8341","144.6102","26545.8630",475442
,"Guinea-Bissau","54.4775","141.0968","1968.0010",36125
,"Guinea","53.4164","138.3485","13132.7950",245857
,"Iran","50.9606","131.9879","83992.9490",1648195
,"Nicaragua","50.8123","131.6039","6624.5540",130373
,"Equatorial Guinea","50.0155","129.5402","1402.9850",28051
,"Fiji","49.0611","127.0683","896.4450",18272
,"Montserrat","48.9412","126.7576","4.9920",102
,"South Africa","48.5724","125.8025","59308.6900",1221037
,"Madagascar","47.1705","122.1716","27691.0180",587041
,"Belarus","45.5170","117.8890","9449.3230",207600
,"Montenegro","45.4725","117.7737","628.0660",13812
,"Liberia","45.4137","117.6215","5057.6810",111369
,"Colombia","44.5658","115.4254","50882.8910",1141748
,"Djibouti","42.5862","110.2983",988,23200
,"Lithuania","41.6890","107.9744","2722.2890",65300
,"Turks and Caicos Islands","40.8407","105.7775","38.7170",948
,"Palau","39.4205","102.0990","18.0940",459
,"Mozambique","38.9918","100.9888","31255.4350",801590
,"DR Congo","38.1948","98.9246","89561.4030",2344858
,"Zimbabwe","38.0362","98.5138","14862.9240",390757
,"United States","35.3160","91.4683","331002.6510",9372610
,"Faroe Islands","35.0775","90.8508","48.8630",1393
,"Kyrgyzstan","32.6290","84.5090","6524.1950",199951
,"Venezuela","31.0285","80.3639","28435.9400",916445
,"Laos","30.7245","79.5764","7275.5600",236800
,"Eritrea","30.1566","78.1057","3546.4210",117600
,"Estonia","29.3306","75.9663","1326.5350",45227
,"Latvia","29.2167","75.6711","1886.1980",64559
,"Bahamas","28.2037","73.0475","393.2440",13943
,"Angola","26.3626","68.2792","32866.2720",1246700
,"Peru","25.6547","66.4457","32971.8540",1285216
,"Chile","25.2826","65.4819","19116.2010",756102
,"Vanuatu","25.1985","65.2642","307.1450",12189
,"Brazil","24.9607","64.6482","212559.4170",8515767
,"Somalia","24.9244","64.5542","15893.2220",637657
,"Zambia","24.4269","63.2656","18383.9550",752612
,"Saint Pierre and Miquelon","23.9421","62.0102","5.7940",242
,"Solomon Islands","23.7709","61.5666","686.8840",28896
,"Sudan","23.2490","60.2150","43849.2600",1886068
,"Sweden","22.4281","58.0888","10099.2650",450295
,"Bhutan","20.0971","52.0515","771.6080",38394
,"Papua New Guinea","19.3307","50.0665","8947.0240",462840
,"Uruguay","19.1883","49.6976","3473.7300",181034
,"Niger","19.1055","49.4832","24206.6440",1267000
,"Algeria","18.4113","47.6854","43851.0440",2381741
,"South Sudan","18.0618","46.7801","11193.7250",619745
,"New Zealand","17.8293","46.1778","4822.2330",270467
,"Paraguay","17.5353","45.4166","7132.5380",406752
,"Belize","17.3138","44.8427","397.6280",22966
,"Norway","16.7425","43.3630","5421.2410",323802
,"Oman","16.4996","42.7340","5106.6260",309500
,"Finland","16.3721","42.4038","5540.7200",338424
,"Mali","16.3288","42.2916","20250.8330",1240192
,"Argentina","16.2551","42.1008","45195.7740",2780400
,"Saudi Arabia","16.1948","41.9446","34813.8710",2149690
,"Republic of the Congo","16.1348","41.7890","5518.0870",342000
,"New Caledonia","15.3700","39.8083","285.4980",18575
,"Chad","12.7927","33.1332","16425.8640",1284000
,"Turkmenistan","12.3565","32.0033","6031.2000",488100
,"Bolivia","10.6255","27.5202","11673.0210",1098581
,"Russia","8.5351","22.1058","145934.4620",17098242
,"Gabon","8.3153","21.5366","2225.7340",267668
,"Central African Republic","7.7526","20.0793","4829.7670",622984
,"Kazakhstan","6.8908","17.8471","18776.7070",2724900
,"Niue","6.2538","16.1975","1.6260",260
,"Mauritania","4.5112","11.6839","4649.6580",1030700
,"Botswana","4.0406","10.4651","2351.6270",582000
,"Libya","3.9052","10.1144","6871.2920",1759540
,"Canada","3.7800","9.7902","37742.1540",9984670
,"Guyana","3.6589","9.4766","786.5520",214969
,"Suriname","3.5810","9.2747","586.6320",163820
,"French Guiana","3.5756","9.2607","298.6820",83534
,"Australia","3.3151","8.5861","25499.8840",7692024
,"Iceland","3.3130","8.5808","341.2430",103000
,"Namibia","3.0776","7.9710","2540.9050",825615
,"Western Sahara","2.2456","5.8162","597.3390",266000
,"Mongolia","2.0959","5.4285","3278.2900",1564110
,"Falkland Islands","0.2859","0.7404","3.4800",12173
,"Greenland","0.0262","0.0679","56.7700",2166086